ID,Active (0/1),Name,Reference,Price tax excluded,Image URL,Attribute 1 group,Attribute 1 value,Attribute 1 reference
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-37,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,37,JXJX902-37
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-38,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,38,JXJX902-38
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-39,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,39,JXJX902-39
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-40,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,40,JXJX902-40
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-41,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,41,JXJX902-41
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-42,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,42,JXJX902-42
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-43,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,43,JXJX902-43
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-44,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,44,JXJX902-44
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-45,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,45,JXJX902-45
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-46,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,46,JXJX902-46
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-47,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,47,JXJX902-47
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-48,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,48,JXJX902-48
10005,1,JALATHLON SAS S3 SRC,00JNI07-35,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,35,00JNI07-35
10005,1,JALATHLON SAS S3 SRC,00JNI07-36,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,36,00JNI07-36
10005,1,JALATHLON SAS S3 SRC,00JNI07-37,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,37,00JNI07-37
10005,1,JALATHLON SAS S3 SRC,00JNI07-38,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,38,00JNI07-38
10005,1,JALATHLON SAS S3 SRC,00JNI07-39,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,39,00JNI07-39
10005,1,JALATHLON SAS S3 SRC,00JNI07-40,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,40,00JNI07-40
10005,1,JALATHLON SAS S3 SRC,00JNI07-41,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,41,00JNI07-41
10005,1,JALATHLON SAS S3 SRC,00JNI07-42,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,42,00JNI07-42
10005,1,JALATHLON SAS S3 SRC,00JNI07-43,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,43,00JNI07-43
10005,1,JALATHLON SAS S3 SRC,00JNI07-44,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,44,00JNI07-44
10005,1,JALATHLON SAS S3 SRC,00JNI07-45,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,45,00JNI07-45
10005,1,JALATHLON SAS S3 SRC,00JNI07-46,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,46,00JNI07-46
10005,1,JALATHLON SAS S3 SRC,00JNI07-47,96.6,https://www.jallatte.fr/stock/new/img/00JNI07.jpg,Taille,47,00JNI07-47
10006,1,JALAUBIER SAS ESD S3 CI HI SRC,JYJY464-35,142.6,https://www.jallatte.fr/stock/new/img/JYJY464.jpg,Taille,35,JYJY464-35
10006,1,JALAUBIER SAS ESD S3 CI HI SRC,JYJY464-36,142.6,https://www.jallatte.fr/stock/new/img/JYJY464.jpg,Taille,36,JYJY464-36
10006,1,JALAUBIER SAS ESD S3 CI HI SRC,JYJY464-37,142.6,https://www.jallatte.fr/stock/new/img/JYJY464.jpg,Taille,37,JYJY464-37
10006,1,JALAUBIER SAS ESD S3 CI HI SRC,JYJY464-38,142.6,https://www.jallatte.fr/stock/new/img/JYJY464.jpg,Taille,38,JYJY464-38
10006,1,JALAUBIER SAS ESD S3 CI HI SRC,JYJY464-39,142.6,https://www.jallatte.fr/stock/new/img/JYJY464.jpg,Taille,39,JYJY464-39
10006,1,JALAUBIER SAS ESD S3 CI HI SRC,JYJY464-40,142.6,https://www.jallatte.fr/stock/new/img/JYJY464.jpg,Taille,40,JYJY464-40
10006,1,JALAUBIER SAS ESD S3 CI HI SRC,JYJY464-41,142.6,https://www.jallatte.fr/stock/new/img/JYJY464.jpg,Taille,41,JYJY464-41
10006,1,JALAUBIER SAS ESD S3 CI HI SRC,JYJY464-42,142.6,https://www.jallatte.fr/stock/new/img/JYJY464.jpg,Taille,42,JYJY464-42
